"averageCostBasis","id","signal","signalledTokens","unsignalledTokens","pricePerShare","subgraphID","shareValue","TotalProfitLoss","address","date_utc","date_time_utc"
1560,"0x8d5d013b906cee14d5cb0a4e930f1fdc4d7c124a-0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728-0",5.02736080120433,1560,0,309.205138422608,2.47399347963884e+75,1554.48579243678,-5.5142075632225,"0x8d5d013b906cee14d5cb0a4e930f1fdc4d7c124a",2021-07-21,"2021-07-21 02:00:10"
2240,"0x8d5d013b906cee14d5cb0a4e930f1fdc4d7c124a-0xf50b705e4eaba269dfe954f10c65bd34e6351e0c-0",5.0253783024115,2240,0,610.01174468971,3.63483103230927e+76,3065.53978597985,825.539785979849,"0x8d5d013b906cee14d5cb0a4e930f1fdc4d7c124a",2021-07-21,"2021-07-21 02:00:10"
6419.36642258506,"0x038db6c62d0f072616e2b8db7d3d7cfc829f7f65-0x7f18bb4dd92cf2404c54cba1a9be4a1153bdb078-0",29.7097602203864,6419.36642258506,0,237.225838371087,8.7299797073706e+76,7047.92277608514,628.556353500073,"0x038db6c62d0f072616e2b8db7d3d7cfc829f7f65",2021-07-21,"2021-07-21 02:00:10"
1108.5,"0x8da90e9c112fec6d583a39bb917820a7624151a4-0x9923c163412e70abf1861562e226ccddc69f9429-0",1.24355609114054,1108.5,0,870.942542797663,3.34720563520632e+76,1083.06590412947,-25.4340958705329,"0x8da90e9c112fec6d583a39bb917820a7624151a4",2021-07-21,"2021-07-21 02:00:10"
500,"0x52bae4a9fc56302dab0af349e6c94406f043176b-0x9923c163412e70abf1861562e226ccddc69f9429-0",0.562098140775057,500,0,870.942542797663,3.34720563520632e+76,489.555184028467,-10.4448159715332,"0x52bae4a9fc56302dab0af349e6c94406f043176b",2021-07-21,"2021-07-21 02:00:11"
1000,"0x6fb8479a3bbb7a4ed8395af47916d9a51b7ba038-0x0a0319671f2d3c18fb55ab555b48bc01f27747a4-0",1.11490415661071,1000,0,839.510357941565,1.93058157968749e+76,935.973587586796,-64.0264124132038,"0x6fb8479a3bbb7a4ed8395af47916d9a51b7ba038",2021-07-21,"2021-07-21 02:00:11"
1000,"0x6fb8479a3bbb7a4ed8395af47916d9a51b7ba038-0x9923c163412e70abf1861562e226ccddc69f9429-0",1.13339382665679,1000,0,870.942542797663,3.34720563520632e+76,987.120901379638,-12.8790986203621,"0x6fb8479a3bbb7a4ed8395af47916d9a51b7ba038",2021-07-21,"2021-07-21 02:00:11"
1125,"0x6fb8479a3bbb7a4ed8395af47916d9a51b7ba038-0xb31aa1f312595af94f184c5791dc03d6af12fbff-0",1.01382153080638,1125,0,1068.29709464293,8.49750024866795e+76,1083.06259584691,-41.937404153093,"0x6fb8479a3bbb7a4ed8395af47916d9a51b7ba038",2021-07-21,"2021-07-21 02:00:11"
25000,"0xfc7eec01e54c8ef105845f78a304261c8dc988ac-0xfcb576bc8ee187945fa00f0daa7bbe9c1b51b0c9-1",92.3550024703143,25000,0,321.972923181087,5.49915777937374e+76,29735.8101157636,4735.81011576362,"0xfc7eec01e54c8ef105845f78a304261c8dc988ac",2021-07-21,"2021-07-21 02:00:11"
19821.6956074374,"0xe8d848debb3a3e12aa815b15900c8e020b863f31-0x9bde7bf4d5b13ef94373ced7c8ee0be59735a298-2",58.6306216753443,19821.6956074374,0,371.429785969466,1.05842101727662e+77,21777.1592601299,1955.46365269253,"0xe8d848debb3a3e12aa815b15900c8e020b863f31",2021-07-21,"2021-07-21 02:00:11"
100,"0x2c38a9121f8cd711d9b763a91e056351f284acda-0x197939c1ca20c2b506d6811d8b6cdb3394471074-0",0.22944280454636,100,0,704.482562908858,3.22281494462342e+76,161.638454987816,61.638454987816,"0x2c38a9121f8cd711d9b763a91e056351f284acda",2021-07-21,"2021-07-21 02:00:11"
0,"0x2c38a9121f8cd711d9b763a91e056351f284acda-0x7f08352ddac4c80b4e45c254473cb109d9ae282d-0",0,100,128.498941385163,79.4818023993013,8.44581028631542e+76,0,28.4989413851634,"0x2c38a9121f8cd711d9b763a91e056351f284acda",2021-07-21,"2021-07-21 02:00:11"
100,"0x2c38a9121f8cd711d9b763a91e056351f284acda-0xde9ca5aff3b7b7f3a29728451c446bda154c0ece-0",0.687976834412644,100,0,122.354099156484,3.45079908948978e+75,84.1767858150887,-15.8232141849113,"0x2c38a9121f8cd711d9b763a91e056351f284acda",2021-07-21,"2021-07-21 02:00:11"
10000,"0xf0fbfdcc322893f9d6e9c661ece8ac8e953c8a07-0x36c057dd1850fad3c075ba83105e67d2448dedaf-0",24.5437703995877,10000,0,486.742359574264,4.91806133883197e+76,11946.4927171443,1946.49271714432,"0xf0fbfdcc322893f9d6e9c661ece8ac8e953c8a07",2021-07-21,"2021-07-21 02:00:11"
10000,"0xf0fbfdcc322893f9d6e9c661ece8ac8e953c8a07-0x9bde7bf4d5b13ef94373ced7c8ee0be59735a298-2",42.7097253691168,10000,0,371.429785969466,1.05842101727662e+77,15863.6641526657,5863.66415266573,"0xf0fbfdcc322893f9d6e9c661ece8ac8e953c8a07",2021-07-21,"2021-07-21 02:00:11"
10000,"0xf0fbfdcc322893f9d6e9c661ece8ac8e953c8a07-0xc18d03a8be67cb08c01434861dc561a70c4b3aa8-0",27.645613936548,10000,0,273.066382062881,2.63909965117197e+76,7549.08777756031,-2450.91222243969,"0xf0fbfdcc322893f9d6e9c661ece8ac8e953c8a07",2021-07-21,"2021-07-21 02:00:11"
200,"0xedc6bdea8df98a4e941dfd861b19ac4db8c5238f-0xbf0ea11b6200a7c4d1f4cee88e778767b0960f84-0",1.09063311835352,200,0,24.7402212119007,5.83243924618727e+76,26.9825046090912,-173.017495390909,"0xedc6bdea8df98a4e941dfd861b19ac4db8c5238f",2021-07-21,"2021-07-21 02:00:12"
0,"0xedc6bdea8df98a4e941dfd861b19ac4db8c5238f-0xe7b73239495a62b6cad1f5afb485b7d892b14c95-0",0,200,285.183593733634,124.971762175521,5.47153419492005e+76,0,85.1835937336336,"0xedc6bdea8df98a4e941dfd861b19ac4db8c5238f",2021-07-21,"2021-07-21 02:00:12"
100,"0x309dec25b8b3996adc80ec9ecdeb17a47a173130-0x994d6ea5a9ccb836d1354947d4697ed3157e48fd-2",0.893998897654,100,0,1.787997795308,1.07583829494619e+77,1.59846805801314,-98.4015319419869,"0x309dec25b8b3996adc80ec9ecdeb17a47a173130",2021-07-21,"2021-07-21 02:00:12"
0,"0x309dec25b8b3996adc80ec9ecdeb17a47a173130-0xde9ca5aff3b7b7f3a29728451c446bda154c0ece-0",0,100,1336.88457289761,122.354099156484,3.45079908948978e+75,0,1236.88457289761,"0x309dec25b8b3996adc80ec9ecdeb17a47a173130",2021-07-21,"2021-07-21 02:00:12"
0,"0xfd898eb4e23b72651aebb19d40bc22fae658ba40-0x994d6ea5a9ccb836d1354947d4697ed3157e48fd-2",0,3000,3021.70076597099,1.787997795308,1.07583829494619e+77,0,21.7007659709934,"0xfd898eb4e23b72651aebb19d40bc22fae658ba40",2021-07-21,"2021-07-21 02:00:12"
230,"0xca4fe3b7150f5e0dc77cf920f4d577e31e854552-0xd1b10607921c78d9a00529294c4b99f1bd250e1c-0",0.999359349599511,230,0,189.612379525815,7.71401166911839e+76,189.490904278934,-40.5090957210656,"0xca4fe3b7150f5e0dc77cf920f4d577e31e854552",2021-07-21,"2021-07-21 02:00:12"
316,"0x45727f79a030a0cdd5c588f7670215e6f9378530-0xf50b705e4eaba269dfe954f10c65bd34e6351e0c-0",0.516928205558621,316,0,610.01174468971,3.63483103230927e+76,315.332276552135,-0.667723447864546,"0x45727f79a030a0cdd5c588f7670215e6f9378530",2021-07-21,"2021-07-21 02:00:12"
